restaurantId,amount,quantity,scope,url,unit,observedAt
wing-2,17.45,10,"143 New Britain Avenue, Plainville; main menu",https://jtimothys.com/food-menus/main-food-menu/,menu-listed bone-in piece,2026-09-15
wing-3,17.5,10,Brand menu; Phoenix branch price not independently confirmed,https://valleywingsonline.com/menu/,menu-listed bone-in piece,2026-09-15
wing-4,16,10,"317 Washington Street, Newton; pickup menu",https://order.toasttab.com/online/buffs-pub,menu-listed bone-in piece,2026-09-15
wing-6,16.5,10,"17452 Northwest Fwy, Jersey Village; representative Houston-area branch, ordering menu",https://order.toasttab.com/online/seoulside-wings-17452-northwest-fwy,menu-listed bone-in piece,2026-09-15
wing-10,17.99,10,Baltimore; official food menu,https://baltimoresbestwings.com/food-menu,menu-listed bone-in piece,2026-09-15
wing-36,18,12,"1463 Atwood Avenue, Johnston; pickup menu",https://order.toasttab.com/online/the-chicken-coop-kitchen-and-bar-1463-atwood-avenue,menu-listed bone-in piece,2026-09-15
